name,longitude,latitude
北海道,141.3468074,43.0646147
青森,140.7399984,40.8243077
岩手,141.1526839,39.7036194
宮城,140.8721,38.2688373
秋田,140.1023643,39.7186135
山形,140.3636333,38.2404355
福島,140.4675514,37.7502986
茨城,140.4467935,36.3418112
栃木,139.8835651,36.565725
群馬,139.0604061,36.3906675
埼玉,139.6488487,35.8569991
千葉,140.1233063,35.6050574
東京,139.6917064,35.6894875
神奈川,139.6423446,35.4475073
新潟,139.0230946,37.9025518
富山,137.2113383,36.6952907
石川,136.6255726,36.5946816
福井,136.2215269,36.0651779
山梨,138.5684486,35.6641575
長野,138.1809557,36.6512986
岐阜,136.7222906,35.3912272
静岡,138.3830845,34.9771201
愛知,136.9065647,35.1801883
三重,136.5085883,34.7302829
滋賀,135.8685899,35.0045306
京都,135.7555968,35.0212466
大阪,135.5196609,34.6862971
兵庫,135.1830706,34.6912688
奈良,135.8327421,34.6853345
和歌山,135.1675086,34.2259867
鳥取,134.2377356,35.5038906
島根,133.0504997,35.4722952
岡山,133.9344057,34.6617511
広島,132.4596225,34.3965603
山口,131.4706493,34.1859563
徳島,134.5593601,34.0657179
香川,134.0434436,34.3401491
愛媛,132.7656808,33.8416238
高知,133.5310786,33.5597062
福岡,130.418297,33.6065756
佐賀,130.2997942,33.2494416
長崎,129.8737562,32.7448388
熊本,130.7416672,32.789827
大分,131.6126189,33.2381718
宮崎,131.4238934,31.9110956
鹿児島,130.5577279,31.5610825
沖縄,127.6809317,26.2124013
