state,longitude,latitude
AK,-154.493062,63.588753
AL,-86.902298,32.318231
AR,-91.831833,35.20105
AZ,-111.093731,34.048928
CA,-119.417932,36.778261
CO,-105.782067,39.550051
CT,-73.087749,41.603221
DC,-77.033418,38.905985
DE,-75.52767,38.910832
FL,-81.515754,27.664827
GA,-82.907123,32.157435
HI,-155.665857,19.898682
IA,-93.097702,41.878003
ID,-114.742041,44.068202
IL,-89.398528,40.633125
IN,-85.602364,40.551217
KS,-98.484246,39.011902
KY,-84.270018,37.839333
LA,-92.145024,31.244823
MA,-71.382437,42.407211
MD,-76.641271,39.045755
ME,-69.445469,45.253783
MI,-85.602364,44.314844
MN,-94.6859,46.729553
MO,-91.831833,37.964253
MS,-89.398528,32.354668
MT,-110.362566,46.879682
NC,-79.0193,35.759573
ND,-101.002012,47.551493
NE,-99.901813,41.492537
NH,-71.572395,43.193852
NJ,-74.405661,40.058324
NM,-105.032363,34.97273
NV,-116.419389,38.80261
NY,-74.217933,43.299428
OH,-82.907123,40.417287
OK,-97.092877,35.007752
OR,-120.554201,43.804133
PA,-77.194525,41.203322
PR,-66.590149,18.220833
RI,-71.477429,41.580095
SC,-81.163725,33.836081
SD,-99.901813,43.969515
TN,-86.580447,35.517491
TX,-99.901813,31.968599
UT,-111.093731,39.32098
VA,-78.656894,37.431573
VT,-72.577841,44.558803
WA,-120.740139,47.751074
WI,-88.787868,43.78444
WV,-80.454903,38.597626
WY,-107.290284,43.075968
